zip_code,latitude,longitude,city,state,county
72347,35.358936,-90.958977,Hickory Ridge,AR,Cross
72348,34.959855,-90.564357,Hughes,AR,Saint Francis
72350,35.501635,-90.145752,Joiner,AR,Mississippi
72351,35.695435,-90.08845,Keiser,AR,Mississippi
72352,34.769714,-90.755195,La Grange,AR,Lee
72353,34.328604,-90.965177,Lambrook,AR,Phillips
72354,35.596339,-90.340023,Lepanto,AR,Poinsett
72355,34.522109,-90.746809,Lexa,AR,Phillips
72358,35.773408,-89.887854,Luxora,AR,Mississippi
72359,35.025243,-90.708551,Madison,AR,Saint Francis
72360,34.768479,-90.783138,Marianna,AR,Lee
72364,35.174997,-90.294424,Marion,AR,Crittenden
72365,35.531267,-90.43642,Marked Tree,AR,Poinsett
72366,34.5334,-90.954242,Marvell,AR,Phillips
72367,34.25968,-90.936604,Mellwood,AR,Phillips
72368,34.791849,-90.935139,Moro,AR,Lee
72369,34.443028,-90.785809,Oneida,AR,Phillips
72370,35.646832,-90.094653,Osceola,AR,Mississippi
